source_type,latitude,longitude,composite_risk_score,composite_risk_level,composite_reason,anomaly_score,optical_component,surface_component,insar_component,insar_baseline_component,fusion_bonus,mean_brightness,brightness_std,mean_reconstruction_error,total_edge_strength,insar_matched,insar_distance_deg,effective_insar_displacement,effective_insar_abs_displacement,sampled_insar_displacement,sampled_insar_abs_displacement,sampled_insar_available,insar_displacement,insar_abs_displacement,insar_direction,instability_type,instability_reason
광학+InSAR 복합 후보,35.87341541614375,127.0275722398675,37.11155504908622,주의,"광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남, 밝기·경계·복원오차 기반 표면 변화 신호가 큼",0.1109078377485275,20.06671400797211,12.102469225557396,2.74576211975373,0.0,2.196609695802984,0.3220000863075256,0.084992878139019,0.3220000863075256,0.017078723758459,True,0.004663214730014703,0.0664115771651268,0.0664115771651268,0.04491352289915085,0.04491352289915085,True,0.0664115771651268,0.0664115771651268,융기 또는 상승 변위,넓은 밝은 노출면 가능성,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 중심부에 집중되어 국소적인 표면 변화 가능성이 큽니다."
광학+InSAR 복합 후보,35.829842056460265,127.19159792785604,35.05327922499178,주의,광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남,0.07805036008358,9.65558660679934,5.265652741892611,14.614561815271637,0.0,5.517478061028194,0.2754551768302917,0.046634767204523,0.2754551768302917,0.0051632255781441,True,0.0036833806337131622,0.0702591389417648,0.0702591389417648,0.024227241054177284,0.024227241054177284,True,0.0702591389417648,0.0702591389417648,융기 또는 상승 변위,넓은 밝은 노출면 가능성,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 전반에 퍼져 있어 넓은 면적의 표면 차이 가능성이 있습니다."
InSAR 산지/전지역 격자,35.848447626972046,127.05814120362811,33.227978478093775,낮음,광학영상 이상 후보가 적은 산지/비도심 구간을 보완하기 위해 InSAR 변위 래스터를 격자로 샘플링한 후보입니다.,0.0,0.0,0.0,4.571099154496541,28.656879323597234,0.0,0.0,0.0,0.0,0.0,False,,0.05022568628191948,0.05022568628191948,0.05022568628191948,0.05022568628191948,True,0.05022568628191948,0.05022568628191948,융기 또는 상승 방향 변위,InSAR 기반 산지/비도심 변위 후보,"광학영상만으로는 산림·그늘·식생 때문에 표면 이상이 약하게 보일 수 있어, 위성 레이더 변위값을 직접 반영했습니다."
InSAR 산지/전지역 격자,35.8497094729302,127.13783221549933,32.77947732513451,낮음,광학영상 이상 후보가 적은 산지/비도심 구간을 보완하기 위해 InSAR 변위 래스터를 격자로 샘플링한 후보입니다.,0.0,0.0,0.0,4.321931847296951,28.45754547783756,0.0,0.0,0.0,0.0,0.0,False,,0.05016772076487541,0.05016772076487541,0.05016772076487541,0.05016772076487541,True,0.05016772076487541,0.05016772076487541,융기 또는 상승 방향 변위,InSAR 기반 산지/비도심 변위 후보,"광학영상만으로는 산림·그늘·식생 때문에 표면 이상이 약하게 보일 수 있어, 위성 레이더 변위값을 직접 반영했습니다."
광학+InSAR 복합 후보,35.85623079728091,127.0350850376475,28.189803866974536,낮음,광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남,0.0852500274777412,11.93685284552362,8.09498443173215,4.532203660954871,0.0,3.625762928763897,0.2850381135940552,0.0632716491818428,0.2850381135940552,0.0129702202975749,True,0.010110593471244938,0.0669906958937645,0.0669906958937645,0.044712599366903305,0.044712599366903305,True,0.0669906958937645,0.0669906958937645,융기 또는 상승 변위,넓은 밝은 노출면 가능성,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 전반에 퍼져 있어 넓은 면적의 표면 차이 가능성이 있습니다."
광학+InSAR 복합 후보,35.84725094225,127.19828893513215,27.983861723588376,낮음,광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남,0.0898077189922332,13.380990082608037,8.455106853332106,3.4154248820267976,0.0,2.732339905621438,0.2974621951580047,0.0363861620426178,0.2974621951580047,0.0106348027475178,True,0.02099071605425629,0.0666286647319793,0.0666286647319793,0.033393744379282,0.033393744379282,True,0.0666286647319793,0.0666286647319793,융기 또는 상승 변위,넓은 밝은 노출면 가능성,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 전반에 퍼져 있어 넓은 면적의 표면 차이 가능성이 있습니다."
광학+InSAR 복합 후보,35.87894866055696,127.01325724910944,25.466789115324318,낮음,광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남,0.0955471843481063,15.1995808351891,10.050016630223645,0.12066202772865224,0.0,0.09652962218292178,0.2736199796199798,0.1438029706478119,0.2736199796199798,0.023724858649075,True,0.014244029605970833,0.0655605867505073,0.0655605867505073,0.048930875957012177,0.048930875957012177,True,0.0655605867505073,0.0655605867505073,융기 또는 상승 변위,국소 밝은 반사체 가능성,"일부 영역이 주변보다 밝게 나타나 건물 지붕, 도로, 공사장 일부, 노출 토양 가능성을 확인해야 합니다. 고오차 픽셀 비율은 약 10%입니다. 오차가 타일 전반에 퍼져 있어 넓은 면적의 표면 차이 가능성이 있습니다."
광학+InSAR 복합 후보,35.8530184296563,127.19815842002738,25.33960033830588,낮음,광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남,0.0688698142766952,6.746664839205924,5.151410618855834,9.586287829269308,0.0,3.855237050974814,0.2577908635139465,0.0491292141377925,0.2577908635139465,0.0099815581925213,True,0.023996233751725708,0.0686291009187698,0.0686291009187698,0.03967582434415817,0.03967582434415817,True,0.0686291009187698,0.0686291009187698,융기 또는 상승 변위,넓은 밝은 노출면 가능성,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 전반에 퍼져 있어 넓은 면적의 표면 차이 가능성이 있습니다."
InSAR 산지/전지역 격자,35.8503205902315,127.17767955332154,25.0,낮음,광학영상 이상 후보가 적은 산지/비도심 구간을 보완하기 위해 InSAR 변위 래스터를 격자로 샘플링한 후보입니다.,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,False,,0.049162279814481735,0.049162279814481735,0.049162279814481735,0.049162279814481735,True,0.049162279814481735,0.049162279814481735,융기 또는 상승 방향 변위,InSAR 기반 산지/비도심 변위 후보,"광학영상만으로는 산림·그늘·식생 때문에 표면 이상이 약하게 보일 수 있어, 위성 레이더 변위값을 직접 반영했습니다."
광학+InSAR 복합 후보,35.84158946432289,127.20550280459976,24.059121758739686,낮음,광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남,0.0908960253000259,13.72582773988254,8.694510623055585,0.9104352198897542,0.0,0.7283481759118033,0.2980410456657409,0.0454703867435455,0.2980410456657409,0.0113643272779881,True,0.01916210969863545,0.0658166110515594,0.0658166110515594,0.030628899112343788,0.030628899112343788,True,0.0658166110515594,0.0658166110515594,융기 또는 상승 변위,넓은 밝은 노출면 가능성,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 전반에 퍼져 있어 넓은 면적의 표면 차이 가능성이 있습니다."
광학+InSAR 복합 후보,35.86764851570207,127.027715213632,22.936090537417453,낮음,광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남,0.0780781805515289,9.664401721554336,8.329317000306402,2.74576211975373,0.0,2.196609695802984,0.2703439593315124,0.0706563740968704,0.2703439593315124,0.0182186588644981,True,0.0016150638117007753,0.0664115771651268,0.0664115771651268,0.04726478084921837,0.04726478084921837,True,0.0664115771651268,0.0664115771651268,융기 또는 상승 변위,넓은 밝은 노출면 가능성,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 중심부에 집중되어 국소적인 표면 변화 가능성이 큽니다."
광학+InSAR 복합 후보,35.83582194265304,127.20563273336596,22.70356025036876,낮음,광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남,0.0902354195713996,13.516510077924268,7.548266776642932,0.9104352198897542,0.0,0.7283481759118033,0.2960711717605591,0.0507669113576412,0.2960711717605591,0.0076332495082169,True,0.013482821963459384,0.0658166110515594,0.0658166110515594,0.01616104319691658,0.01616104319691658,True,0.0658166110515594,0.0658166110515594,융기 또는 상승 변위,넓은 밝은 노출면 가능성,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 전반에 퍼져 있어 넓은 면적의 표면 차이 가능성이 있습니다."
광학+InSAR 복합 후보,35.83560953931383,127.19146701192176,22.45583403192742,낮음,광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남,0.0803956091403961,10.398695586952144,5.90937365732704,3.4154248820267976,0.0,2.732339905621438,0.2806817889213562,0.0401666052639484,0.2806817889213562,0.0060343041550368,True,0.0075237639770058965,0.0666286647319793,0.0666286647319793,0.03178638964891434,0.03178638964891434,True,0.0666286647319793,0.0666286647319793,융기 또는 상승 변위,넓은 밝은 노출면 가능성,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 전반에 퍼져 있어 넓은 면적의 표면 차이 가능성이 있습니다."
광학+InSAR 복합 후보,35.88494919889979,127.02728617044636,21.17993187412616,낮음,광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남,0.0648018270730972,5.457693924430536,8.015870496697353,4.587685210466539,0.0,3.1186822425317344,0.2402874082326889,0.0840463414788246,0.2402874082326889,0.0259689120575785,True,0.007709746231289364,0.0670086815953254,0.0670086815953254,0.0488600879907608,0.0488600879907608,True,0.0670086815953254,0.0670086815953254,융기 또는 상승 변위,넓은 밝은 노출면 가능성,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 가장자리 쪽에 많아 지형/토지피복 경계일 가능성이 있습니다."
광학+InSAR 복합 후보,35.84137701620571,127.19133605878427,20.987149007292807,낮음,광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남,0.0759402513504028,8.98698352425441,5.852400695390163,3.4154248820267976,0.0,2.732339905621438,0.272634357213974,0.0401341989636421,0.272634357213974,0.0082108657807111,True,0.012595455773941493,0.0666286647319793,0.0666286647319793,0.03658558800816536,0.03658558800816536,True,0.0666286647319793,0.0666286647319793,융기 또는 상승 변위,넓은 밝은 노출면 가능성,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 전반에 퍼져 있어 넓은 면적의 표면 차이 가능성이 있습니다."
광학+InSAR 복합 후보,35.89036483177937,127.0058820927182,20.83337809882642,낮음,광학영상 이상과 InSAR 변위가 가까운 위치에서 함께 나타남,0.0853368639945983,11.964367618547048,8.651818830367798,0.12066202772865224,0.0,0.09652962218292178,0.2859463095664978,0.059762742370367,0.2859463095664978,0.0147972274571657,True,0.006575016592235834,0.0655605867505073,0.0655605867505073,0.0475139394402504,0.0475139394402504,True,0.0655605867505073,0.0655605867505073,융기 또는 상승 변위,넓은 밝은 노출면 가능성,"타일 전체가 주변보다 밝게 반사되어 나지, 마른 토양, 콘크리트, 암반 노출 같은 표면 변화 가능성이 있습니다. 오차가 타일 전반에 퍼져 있어 넓은 면적의 표면 차이 가능성이 있습니다."
